ProductID,ProductName,Category,UnitPrice,StockQuantity,Condition
2000,electronics-be,ELECTRONICS,969.31,2,NEW
2001,electronics-be,CLOTHING,412.35,7,NEW
2002,office-family,CLOTHING,866.0,3,NEW
2003,electronics-training,CLOTHING,385.18,12,USED
2004,office-where,HOME,927.25,1,NEW
2005,office-huge,HOME,428.78,12,CLEARANCE
2006,office-class,CLOTHING,198.0,10,REFURBISHED
2007,clothing-over,ELECTRONICS,583.39,2,USED
2008,electronics-skin,HOME,66.59,99,NEW
2009,office-raise,CLOTHING,66.31,85,NEW
2010,electronics-themselves,CLOTHING,77.84,15,CLEARANCE
2011,electronics-religious,CLOTHING,409.74,96,NEW
2012,clothing-artist,ELECTRONICS,623.19,2,REFURBISHED
2013,office-cultural,HOME,935.36,2,CLEARANCE
2014,clothing-eat,HOME,246.3,72,NEW
2015,office-itself,CLOTHING,674.97,0,DISCONTINUED
2016,home-he,OFFICE,323.02,45,NEW
2017,electronics-feeling,ELECTRONICS,463.7,39,CLEARANCE
2018,electronics-nature,ELECTRONICS,542.26,3,REFURBISHED
2019,home-history,CLOTHING,933.93,1,USED
2020,electronics-share,CLOTHING,375.83,26,NEW
2021,clothing-skill,OFFICE,835.41,3,NEW
2022,home-economy,ELECTRONICS,671.18,5,NEW
2023,home-yeah,ELECTRONICS,939.54,4,NEW
2024,clothing-paper,HOME,124.27,16,CLEARANCE
2025,electronics-assume,CLOTHING,279.62,34,NEW
2026,clothing-use,HOME,211.56,9,REFURBISHED
2027,home-purpose,OFFICE,258.61,40,NEW
2028,electronics-take,ELECTRONICS,637.94,0,DISCONTINUED
2029,home-yourself,ELECTRONICS,13.51,164,NEW
2030,clothing-first,HOME,169.97,24,REFURBISHED
2031,office-develop,OFFICE,565.3,4,NEW
2032,electronics-there,ELECTRONICS,945.6,3,SALE
2033,clothing-argue,ELECTRONICS,836.25,5,NEW
2034,clothing-feel,OFFICE,136.17,9,USED
2035,home-according,HOME,899.99,1,NEW
2036,electronics-candidate,HOME,217.98,9,CLEARANCE
2037,clothing-meeting,ELECTRONICS,360.14,7,USED
2038,office-soon,CLOTHING,926.51,0,DISCONTINUED
2039,clothing-need,CLOTHING,976.44,3,CLEARANCE
2040,clothing-determine,OFFICE,34.54,97,SALE
2041,home-assume,OFFICE,804.21,8,NEW
2042,clothing-lawyer,HOME,167.61,10,CLEARANCE
2043,electronics-practice,OFFICE,873.45,3,NEW
2044,office-society,CLOTHING,207.58,25,SALE
2045,office-next,HOME,312.14,10,CLEARANCE
2046,clothing-worry,CLOTHING,33.43,142,NEW
2047,clothing-hair,OFFICE,334.98,15,SALE
2048,electronics-candidate,HOME,357.63,12,NEW
2049,office-easy,HOME,939.84,1,NEW
2050,electronics-young,HOME,186.78,45,SALE
2051,home-century,ELECTRONICS,117.32,65,SALE
2052,office-year,HOME,731.26,1,NEW
2053,home-ground,OFFICE,610.15,5,NEW
2054,electronics-above,OFFICE,900.51,1,NEW
2055,clothing-politics,HOME,53.94,75,SALE
2056,office-about,ELECTRONICS,524.72,4,CLEARANCE
2057,clothing-identify,HOME,436.98,23,SALE
2058,home-wear,HOME,666.75,5,NEW
2059,electronics-clear,HOME,512.05,5,NEW
2060,office-term,HOME,408.38,3,SALE
2061,home-quite,CLOTHING,199.92,8,NEW
2062,office-receive,CLOTHING,619.36,4,SALE
2063,home-good,OFFICE,552.46,2,CLEARANCE
2064,electronics-stop,HOME,294.04,7,NEW
2065,office-animal,HOME,470.34,5,REFURBISHED
2066,office-occur,CLOTHING,516.06,4,NEW
2067,clothing-remain,ELECTRONICS,290.95,11,SALE
2068,home-read,ELECTRONICS,820.24,2,NEW
2069,clothing-garden,HOME,232.39,10,CLEARANCE
2070,clothing-about,CLOTHING,34.18,87,SALE
2071,clothing-success,OFFICE,615.16,3,NEW
2072,electronics-become,OFFICE,420.3,5,NEW
2073,clothing-executive,OFFICE,499.43,2,CLEARANCE
2074,clothing-strong,CLOTHING,659.5,0,DISCONTINUED
2075,electronics-letter,ELECTRONICS,780.64,1,NEW
2076,clothing-affect,CLOTHING,806.07,1,NEW
2077,office-ball,ELECTRONICS,561.83,1,NEW
2078,electronics-film,OFFICE,142.01,11,SALE
2079,office-who,HOME,950.54,1,NEW
2080,office-doctor,OFFICE,832.26,0,DISCONTINUED
2081,office-light,CLOTHING,746.22,3,SALE
2082,office-figure,OFFICE,266.6,16,CLEARANCE
2083,clothing-cut,HOME,768.16,2,NEW
2084,office-stuff,CLOTHING,281.85,13,NEW
2085,electronics-officer,HOME,242.15,11,SALE
2086,home-of,HOME,894.1,2,NEW
2087,electronics-rather,CLOTHING,159.32,19,SALE
2088,office-evening,CLOTHING,709.35,10,SALE
2089,electronics-action,OFFICE,413.52,2,CLEARANCE
2090,office-staff,OFFICE,71.64,87,NEW
2091,office-mrs,OFFICE,905.79,3,SALE
2092,electronics-add,OFFICE,482.21,4,CLEARANCE
2093,home-real,HOME,755.94,2,NEW
2094,office-fight,CLOTHING,493.35,5,REFURBISHED
2095,home-seem,OFFICE,490.79,6,REFURBISHED
2096,office-discuss,HOME,672.18,3,SALE
2097,office-recent,CLOTHING,842.1,2,NEW
2098,clothing-trouble,ELECTRONICS,907.86,1,NEW
2099,electronics-several,ELECTRONICS,646.32,3,NEW
2003,electronics-training,CLOTHING,456.0,12,USED
2004,office-where,HOME,240.0,1,NEW
2014,clothing-eat,HOME,24.0,72,NEW
2015,office-itself,CLOTHING,56.0,0,DISCONTINUED
2019,home-history,CLOTHING,64.0,1,USED
2021,clothing-skill,OFFICE,246.0,3,NEW
2028,electronics-take,ELECTRONICS,2468.0,0,DISCONTINUED
2033,clothing-argue,ELECTRONICS,1245.0,5,NEW
2036,electronics-candidate,HOME,124.0,9,CLEARANCE
2039,clothing-need,CLOTHING,16.0,3,CLEARANCE
2045,office-next,HOME,85.0,10,CLEARANCE
2047,clothing-hair,OFFICE,46.0,15,SALE
2048,electronics-candidate,HOME,12.0,12,NEW
2050,electronics-young,HOME,489.0,45,SALE
2052,office-year,HOME,261.0,1,NEW
2053,home-ground,OFFICE,156.0,5,NEW
2058,home-wear,HOME,159.0,5,NEW
2060,office-term,HOME,126.0,3,SALE
2063,home-good,OFFICE,896.0,2,CLEARANCE
2065,office-animal,HOME,54.0,5,REFURBISHED
2070,clothing-about,CLOTHING,48.0,87,SALE
2074,clothing-strong,CLOTHING,29.0,0,DISCONTINUED
2077,office-ball,ELECTRONICS,64.0,1,NEW
2078,electronics-film,OFFICE,10.0,11,SALE
2081,office-light,CLOTHING,105.0,3,SALE
2083,clothing-cut,HOME,1056.0,2,NEW
