TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercentage,PaymentType
1,2025-05-04,1034,2059,402,0.0,2048.2,15,cash
2,2025-05-04,1066,2048,403,1.0,321.87,5,debit
3,2025-05-04,1116,2041,403,3.0,3216.84,5,debit
4,2025-05-04,1071,2096,404,2.0,1613.23,20,storecredit
5,2025-05-04,1020,2060,401,0.0,408.38,5,debit
6,2025-05-04,1089,2028,401,0.0,1275.88,15,cash
7,2025-05-04,1193,2003,402,1.0,346.66,20,storecredit
8,2025-05-04,1005,2079,402,1.0,855.49,20,storecredit
9,2025-05-04,1032,2060,401,1.0,735.08,20,storecredit
10,2025-05-04,1119,2089,403,2.0,661.63,5,debit
11,2025-05-04,1042,2077,401,N/A,505.65,15,cash
12,2025-05-04,1079,2013,401,2.0,0,15,cash
13,2025-05-04,1147,2086,404,3.0,4470.5,15,cash
14,2025-05-04,1183,2025,401,1.0,503.32,5,debit
15,2025-05-04,1026,2089,403,0.0,413.52,5,debit
16,2025-05-04,1144,2005,403,3.0,1715.12,20,storecredit
17,2025-05-04,1169,2047,401,2.0,535.97,5,debit
18,2025-05-04,1003,2053,404,0.0,3660.9,15,cash
19,2025-05-04,1110,2046,404,1.0,30.09,20,storecredit
20,2025-05-04,1111,2022,403,3.0,671.18,20,storecredit
21,2025-05-04,1119,2055,403,2.0,?,20,storecredit
22,2025-05-04,1062,2011,403,3.0,1229.22,5,debit
23,2025-05-04,1062,2096,404,3.0,672.18,15,cash
24,2025-05-04,1086,2003,404,2.0,924.43,15,cash
25,2025-05-04,1046,2062,402,2.0,1981.95,15,cash
26,2025-05-04,1066,2043,403,2.0,698.76,5,debit
27,2025-05-04,1142,2001,402,0.0,1237.05,5,debit
28,2025-05-04,1061,2092,404,3.0,482.21,20,storecredit
29,2025-05-04,1142,2097,402,3.0,4210.5,5,debit
30,2025-05-04,1165,2091,404,3.0,4528.95,15,cash
31,,1004,2011,403,1.0,737.53,20,storecredit
32,2025-05-04,1103,2088,402,2.0,0,20,storecredit
33,2025-05-04,1169,2074,403,3.0,0,20,storecredit
34,2025-05-04,1141,2067,403,3.0,872.85,5,debit
35,2025-05-04,1190,2070,403,2.0,54.69,15,cash
36,2025-05-04,1179,2058,403,2.0,1066.8,15,cash
37,2025-05-04,1064,2029,401,1.0,12.16,15,cash
38,2025-05-04,1080,2015,402,1.0,3037.36,5,debit
39,2025-05-04,1055,2094,404,2.0,1578.72,5,debit
40,2025-05-04,1185,2075,403,0.0,0,20,storecredit
41,2025-05-04,9999,2037,402,2.0,288.11,5,debit
42,2025-05-04,1045,2038,401,1.0,1667.72,15,cash
43,2025-05-04,1070,2005,401,2.0,686.05,20,storecredit
44,2025-05-04,1178,2016,404,0.0,0,20,storecredit
45,2025-05-04,1003,2073,403,3.0,1498.29,20,storecredit
46,2025-05-04,1122,2056,403,1.0,944.5,5,debit
47,2025-05-04,1013,2032,404,0.0,2836.8,15,cash
48,2025-05-04,1016,2051,404,0.0,117.32,15,cash
49,2025-05-04,1147,2080,401,1.0,0,15,cash
50,2025-05-04,1038,2072,403,0.0,840.6,5,debit
51,2025-05-04,1063,2015,404,1.0,1214.95,5,debit
52,2025-05-04,1198,2066,404,3.0,516.06,20,storecredit
53,2025-05-04,1113,2038,404,2.0,2223.62,5,debit
54,2025-05-04,1145,2079,401,0.0,1901.08,15,cash
55,2025-05-04,1195,2026,402,2.0,507.74,20,storecredit
56,2025-05-04,1169,2010,402,1.0,140.11,20,storecredit
57,2025-05-04,1044,2070,401,1.0,0,20,storecredit
58,2025-05-04,1000,2052,404,3.0,2193.78,5,debit
59,2025-05-04,1074,2004,402,2.0,741.8,15,cash
60,2025-05-04,1180,2036,404,0.0,217.98,15,cash
61,2025-05-04,1175,2029,403,1.0,36.48,15,cash
62,2025-05-04,1108,2014,402,1.0,221.67,5,debit
63,2025-05-04,1068,2018,401,0.0,2169.04,5,debit
64,2025-05-04,1042,2039,403,3.0,2929.32,20,storecredit
65,2025-05-04,1031,2059,403,3.0,0,5,debit
66,2025-05-04,1069,2064,404,3.0,1470.2,15,cash
67,2025-05-04,1020,2076,401,3.0,4836.42,20,storecredit
68,2025-05-04,1188,2041,403,0.0,1608.42,20,storecredit
69,2025-05-04,1023,2029,401,2.0,0,20,storecredit
70,2025-05-04,1147,2005,402,3.0,0,5,debit
71,2025-05-04,1132,2083,404,2.0,614.53,15,cash
72,2025-05-04,1046,2074,404,3.0,659.5,15,cash
73,2025-05-04,1023,2060,403,3.0,1225.14,15,cash
74,2025-05-04,1085,2041,401,1.0,1447.58,5,debit
75,2025-05-04,1084,2052,404,2.0,2925.04,5,debit
76,2025-05-04,1169,2051,401,3.0,117.32,20,storecredit
77,2025-05-04,1022,2040,403,2.0,55.26,5,debit
78,2025-05-04,1029,2098,404,0.0,3631.44,15,cash
79,2025-05-04,1168,2069,404,3.0,232.39,20,storecredit
80,2025-05-04,1013,2024,403,3.0,372.81,20,storecredit
81,2025-05-04,1160,2056,401,1.0,472.25,20,storecredit
82,2025-05-04,1068,2070,402,2.0,109.38,5,debit
83,2025-05-04,1112,2089,404,0.0,2067.6,15,cash
84,2025-05-04,1007,2080,402,1.0,1498.07,15,cash
85,2025-05-04,1079,2070,401,3.0,34.18,15,cash
86,2025-05-04,1023,2028,401,3.0,2551.76,5,debit
87,2025-05-04,1030,2082,402,3.0,799.8,5,debit
88,2025-05-04,1183,2037,403,3.0,2160.84,20,storecredit
89,2025-05-04,1123,2060,402,3.0,2450.28,5,debit
90,2025-05-04,1141,2018,404,1.0,2440.17,15,cash
91,2025-05-04,1153,2065,402,0.0,470.34,20,storecredit
92,2025-05-04,1070,2098,404,2.0,0,20,storecredit
93,2025-05-04,1129,2034,401,2.0,108.94,20,storecredit
94,2025-05-04,1185,2038,404,1.0,1667.72,5,debit
95,2025-05-04,1114,2068,404,2.0,656.19,15,cash
96,2025-05-04,1085,2070,404,3.0,0,15,cash
97,2025-05-04,1082,2024,402,3.0,372.81,15,cash
98,2025-05-04,1059,2099,404,0.0,1292.64,5,debit
99,2025-05-04,1081,2095,404,3.0,490.79,5,debit
100,2025-05-04,1098,2084,402,3.0,0,20,storecredit
101,2025-05-04,1009,2016,403,0.0,969.06,5,debit
102,2025-05-04,1112,2012,404,0.0,1869.57,15,cash
103,2025-05-04,1184,2018,404,1.0,488.03,20,storecredit
104,2025-05-04,1019,2060,403,2.0,0,20,storecredit
105,2025-05-04,1159,2088,404,0.0,0,20,storecredit
106,2025-05-04,1084,2086,404,2.0,2861.12,5,debit
107,2025-05-04,1160,2091,404,0.0,905.79,15,cash
108,2025-05-04,1158,2008,402,2.0,159.82,15,cash
109,2025-05-04,1058,2095,401,3.0,2453.95,15,cash
110,2025-05-04,1025,2097,401,3.0,842.1,5,debit
111,2025-05-04,1042,2088,403,0.0,709.35,5,debit
112,2025-05-04,1011,2041,401,2.0,0,20,storecredit
113,2025-05-04,1091,2047,404,1.0,0,5,debit
114,2025-05-04,1062,2067,404,1.0,0,15,cash
115,2025-05-04,1043,2022,401,3.0,2684.72,20,storecredit
116,2025-05-04,1158,2087,402,3.0,477.96,20,storecredit
117,2025-05-04,1149,2018,402,3.0,1626.78,20,storecredit
118,2025-05-04,1163,2032,404,2.0,756.48,5,debit
119,2025-05-04,1170,2001,404,2.0,659.76,15,cash
120,2025-05-04,1173,2069,402,0.0,464.78,15,cash
121,2025-05-04,1113,2044,403,3.0,0,15,cash
122,2025-05-04,1176,2032,404,2.0,756.48,5,debit
123,2025-05-04,1050,2049,404,0.0,2819.52,5,debit
124,2025-05-04,1060,2048,403,2.0,1144.42,20,storecredit
125,2025-05-04,1179,2037,401,3.0,1440.56,5,debit
126,2025-05-04,1070,2001,401,3.0,0,15,cash
127,2025-05-04,1073,2099,402,2.0,0,20,storecredit
128,2025-05-04,1056,2081,402,2.0,0,20,storecredit
129,2025-05-04,1173,2096,402,0.0,672.18,20,storecredit
130,2025-05-04,1160,2082,401,2.0,426.56,5,debit
131,2025-05-04,1112,2004,403,1.0,1669.05,15,cash
132,2025-05-04,1023,2037,403,3.0,2160.84,15,cash
133,2025-05-04,1044,2025,402,2.0,223.7,15,cash
134,2025-05-04,1135,2064,403,1.0,793.91,5,debit
135,2025-05-04,1065,2061,403,2.0,639.74,5,debit
136,2025-05-04,1029,2059,401,1.0,921.69,20,storecredit
137,2025-05-04,1193,2028,404,2.0,1531.06,5,debit
138,2025-05-04,1023,2050,401,2.0,298.85,15,cash
139,2025-05-04,1137,2015,404,2.0,539.98,20,storecredit
140,2025-05-04,1172,2095,403,3.0,2453.95,20,storecredit
141,2025-05-04,1163,2047,401,1.0,301.48,20,storecredit
142,2025-05-04,1120,2003,403,1.0,1039.99,5,debit
143,2025-05-04,1165,2008,404,2.0,53.27,15,cash
144,2025-05-04,1166,2052,401,1.0,658.13,15,cash
145,2025-05-04,1011,2004,403,3.0,3709,15,cash
146,2025-05-04,1029,2012,402,1.0,0,5,debit
147,2025-05-04,1099,2058,403,3.0,666.75,5,debit
148,2025-05-04,1150,2095,402,3.0,490.79,20,storecredit
149,2025-05-04,1167,2012,404,3.0,0,5,debit
150,2025-05-04,1071,2004,403,1.0,834.52,15,cash
151,2025-05-04,1113,2056,402,2.0,839.55,20,storecredit
152,2025-05-04,1025,2087,403,2.0,0,20,storecredit
153,2025-05-04,1015,2050,403,1.0,504.31,20,storecredit
154,2025-05-04,1031,2058,401,1.0,2400.3,5,debit
155,2025-05-04,1164,2081,401,0.0,2984.88,15,cash
156,2025-05-04,1085,2031,402,1.0,508.77,15,cash
157,2025-05-04,1017,2097,402,1.0,757.89,15,cash
158,2025-05-04,1059,2042,402,0.0,0,5,debit
159,2025-05-04,1070,2018,402,2.0,0,5,debit
160,2025-05-04,1044,2014,401,1.0,886.68,20,storecredit
161,2025-05-04,1003,2045,402,2.0,499.42,5,debit
162,2025-05-04,1004,2022,403,0.0,671.18,15,cash
163,2025-05-04,1032,2094,404,0.0,493.35,20,storecredit
164,2025-05-04,1190,2008,404,3.0,266.36,20,storecredit
165,2025-05-04,1199,2046,401,3.0,167.15,20,storecredit
166,2025-05-04,1128,2028,401,2.0,2041.41,5,debit
167,2025-05-04,1117,2082,401,0.0,799.8,15,cash
168,2025-05-04,1122,2051,404,0.0,234.64,15,cash
169,2025-05-04,1125,2091,404,0.0,1811.58,15,cash
170,2025-05-04,1020,2041,402,0.0,0,5,debit
171,2025-05-04,1032,2035,403,3.0,4499.95,5,debit
172,2025-05-04,1152,2067,403,3.0,872.85,20,storecredit
173,2025-05-04,1129,2077,404,0.0,2809.15,5,debit
174,2025-05-04,1179,2014,402,3.0,738.9,15,cash
175,2025-05-04,1115,2029,404,2.0,0,20,storecredit
176,2025-05-04,1116,2051,404,0.0,351.96,20,storecredit
177,2025-05-04,1080,2054,403,2.0,3602.04,20,storecredit
178,2025-05-04,1095,2019,404,0.0,933.93,5,debit
179,2025-05-04,1023,2010,401,3.0,0,15,cash
180,2025-05-04,1024,2095,403,1.0,3533.69,15,cash
181,2025-05-04,1142,2007,403,0.0,583.39,15,cash
182,2025-05-04,1105,2045,404,0.0,624.28,5,debit
183,2025-05-04,1073,2076,403,2.0,1934.57,5,debit
184,2025-05-04,1026,2073,402,1.0,1797.95,20,storecredit
185,2025-05-04,1168,2061,402,0.0,599.76,5,debit
186,2025-05-04,1089,2071,403,0.0,0,15,cash
187,2025-05-04,1195,2035,402,3.0,0,20,storecredit
188,2025-05-04,1143,2098,401,2.0,2178.86,20,storecredit
189,2025-05-04,1007,2023,403,2.0,751.63,20,storecredit
190,2025-05-04,1086,2044,401,1.0,373.64,5,debit
191,2025-05-04,1036,2072,404,0.0,1260.9,15,cash
192,2025-05-04,1036,2094,401,0.0,2466.75,15,cash
193,2025-05-04,1191,2067,402,3.0,872.85,15,cash
194,2025-05-04,1107,2058,403,1.0,1800.22,5,debit
195,2025-05-04,1094,2039,403,0.0,1952.88,5,debit
196,2025-05-04,1013,2019,402,0.0,0,20,storecredit
197,2025-05-04,1172,2010,403,3.0,0,5,debit
198,2025-05-04,1169,2054,404,3.0,900.51,15,cash
199,2025-05-04,1106,2034,402,0.0,136.17,20,storecredit
200,2025-05-04,1088,2055,401,2.0,129.46,20,storecredit
201,2025-05-04,1173,2086,404,2.0,715.28,20,storecredit
202,2025-05-04,1011,2028,404,0.0,0,5,debit
203,2025-05-04,1001,2026,403,1.0,190.4,15,cash
204,2025-05-04,1196,2017,403,2.0,370.96,15,cash
205,2025-05-04,1083,2015,401,3.0,0,15,cash
206,2025-05-04,1191,2055,402,1.0,48.55,5,debit
207,2025-05-04,1097,2068,402,2.0,1312.38,5,debit
208,2025-05-04,1018,2050,401,3.0,0,20,storecredit
209,2025-05-04,1004,2058,401,2.0,1066.8,5,debit
210,2025-05-04,1147,2054,404,3.0,2701.53,15,cash
211,2025-05-04,1074,2014,404,0.0,738.9,20,storecredit
212,2025-05-04,1083,2021,404,2.0,668.33,20,storecredit
213,2025-05-04,1022,2055,401,1.0,97.09,20,storecredit
214,2025-05-04,1111,2075,404,0.0,1561.28,5,debit
215,2025-05-04,1101,2039,403,1.0,2636.39,15,cash
216,2025-05-04,1085,2099,402,0.0,646.32,15,cash
217,2025-05-04,1130,2081,401,1.0,1343.2,15,cash
218,2025-05-04,1198,2044,403,1.0,186.82,5,debit
219,2025-05-04,1060,2013,402,2.0,0,5,debit
220,2025-05-04,1050,2022,402,0.0,671.18,20,storecredit
221,2025-05-04,1045,2098,404,3.0,907.86,5,debit
222,2025-05-04,1193,2072,404,2.0,1681.2,15,cash
223,2025-05-04,1160,2040,402,3.0,138.16,20,storecredit
224,2025-05-04,1017,2060,404,2.0,0,20,storecredit
225,2025-05-04,1070,2075,401,2.0,624.51,20,storecredit
226,2025-05-04,1129,2009,403,3.0,198.93,5,debit
227,2025-05-04,1115,2004,401,2.0,2225.4,15,cash
228,2025-05-04,1073,2009,401,3.0,66.31,15,cash
229,2025-05-04,1118,2074,401,3.0,659.5,15,cash
230,2025-05-04,1146,2083,402,2.0,614.53,5,debit
231,2025-05-04,1154,2060,402,0.0,408.38,5,debit
232,2025-05-04,1115,2013,403,0.0,2806.08,20,storecredit
233,2025-05-04,1129,2082,402,0.0,1066.4,5,debit
234,2025-05-04,1063,2090,404,3.0,71.64,15,cash
235,2025-05-04,1134,2066,402,2.0,1238.54,20,storecredit
236,2025-05-04,1095,2036,404,3.0,653.94,20,storecredit
237,2025-05-04,1198,2043,401,2.0,1397.52,20,storecredit
238,2025-05-04,1016,2042,401,3.0,0,5,debit
239,2025-05-04,1072,2032,402,2.0,1512.96,15,cash
240,2025-05-04,1020,2074,402,2.0,527.6,15,cash
241,2025-05-04,1079,2083,404,1.0,691.34,15,cash
242,2025-05-04,1152,2090,401,2.0,57.31,5,debit
243,2025-05-04,1143,2048,403,1.0,0,5,debit
244,2025-05-04,1171,2089,401,3.0,1654.08,20,storecredit
245,2025-05-04,1130,2046,401,2.0,106.98,5,debit
246,2025-05-04,1079,2023,402,2.0,3006.53,15,cash
247,2025-05-04,1196,2062,402,1.0,1114.85,20,storecredit
248,2025-05-04,1035,2019,401,2.0,0,20,storecredit
249,2025-05-04,1025,2064,401,2.0,705.7,20,storecredit
250,2025-05-04,1196,2079,402,3.0,2851.62,5,debit
251,2025-05-04,1039,2020,402,1.0,338.25,15,cash
252,2025-05-04,1184,2056,401,3.0,1574.16,15,cash
253,2025-05-04,1093,2086,402,3.0,3576.4,15,cash
254,2025-05-04,1156,2036,404,1.0,392.36,5,debit
255,2025-05-04,1136,2030,403,3.0,509.91,5,debit
256,2025-05-04,1049,2047,404,3.0,1674.9,20,storecredit
257,2025-05-04,1196,2036,404,3.0,0,5,debit
258,2025-05-04,1041,2025,402,2.0,671.09,15,cash
259,2025-05-04,1013,2082,404,2.0,1066.4,20,storecredit
260,2025-05-04,1141,2013,401,2.0,748.29,20,storecredit
261,2025-05-04,1021,2097,402,2.0,673.68,20,storecredit
262,2025-05-04,1115,2065,402,3.0,1881.36,5,debit
263,2025-05-04,1023,2028,404,2.0,510.35,15,cash
264,2025-05-04,1006,2053,401,3.0,610.15,15,cash
265,2025-05-04,1128,2047,402,3.0,1004.94,15,cash
266,2025-05-04,1020,2047,402,0.0,669.96,5,debit
267,2025-05-04,1081,2012,403,1.0,1682.61,5,debit
268,2025-05-04,1035,2004,403,3.0,927.25,20,storecredit
269,2025-05-04,1178,2017,404,3.0,1854.8,5,debit
270,2025-05-04,1157,2000,401,0.0,1938.62,15,cash
271,2025-05-04,1065,2027,402,3.0,775.83,20,storecredit
272,2025-05-04,1028,2099,403,1.0,3490.13,20,storecredit
273,2025-05-04,1077,2015,401,1.0,1822.42,20,storecredit
274,2025-05-04,1107,2081,404,0.0,2238.66,5,debit
275,2025-05-04,1028,2063,401,1.0,994.43,15,cash
276,2025-05-04,1183,2018,403,3.0,2711.3,15,cash
277,2025-05-04,1000,2078,403,1.0,0,15,cash
278,2025-05-04,1146,2053,402,0.0,1220.3,5,debit
279,2025-05-04,1134,2046,401,0.0,33.43,5,debit
280,2025-05-04,1099,2060,401,3.0,1633.52,20,storecredit
281,2025-05-04,1095,2032,401,2.0,1512.96,5,debit
282,2025-05-04,1017,2044,402,0.0,207.58,15,cash
283,2025-05-04,1197,2074,403,1.0,593.55,20,storecredit
284,2025-05-04,1011,2045,403,1.0,842.78,20,storecredit
285,2025-05-04,1199,2087,404,3.0,159.32,20,storecredit
286,2025-05-04,1161,2023,402,0.0,939.54,5,debit
287,2025-05-04,1183,2099,404,0.0,1292.64,15,cash
288,2025-05-04,1075,2025,401,1.0,0,15,cash
289,2025-05-04,1010,2040,403,3.0,138.16,15,cash
290,2025-05-04,1139,2060,403,0.0,1225.14,5,debit
291,2025-05-04,1192,2082,402,2.0,213.28,5,debit
292,2025-05-04,1091,2099,401,2.0,1034.11,20,storecredit
293,2025-05-04,1069,2015,403,3.0,2699.88,5,debit
294,2025-05-04,1102,2095,404,3.0,1472.37,15,cash
295,2025-05-04,1086,2023,404,3.0,3758.16,20,storecredit
296,2025-05-04,1094,2066,403,0.0,1032.12,20,storecredit
297,2025-05-04,1186,2054,401,3.0,0,20,storecredit
298,2025-05-04,1154,2023,403,2.0,751.63,5,debit
299,2025-05-04,1026,2010,403,2.0,62.27,15,cash
