region,product_id,product_name,total_revenue
central,2000,electronics-be,2714.0699999999997
central,2001,electronics-be,2020.52
central,2002,office-family,1732.0
central,2003,electronics-training,385.18
central,2004,office-where,3894.45
central,2005,office-huge,343.02
central,2006,office-class,1386.0
central,2007,clothing-over,2683.59
central,2008,electronics-skin,159.81
central,2009,office-raise,185.67000000000002
central,2010,electronics-themselves,280.22
central,2011,electronics-religious,1638.96
central,2012,clothing-artist,1682.61
central,2014,clothing-eat,1206.8700000000001
central,2015,office-itself,1079.95
central,2016,home-he,872.15
central,2017,electronics-feeling,1391.1
central,2018,electronics-nature,1084.52
central,2019,home-history,933.93
central,2020,electronics-share,300.66
central,2021,clothing-skill,3091.02
central,2023,home-yeah,0.0
central,2024,clothing-paper,372.81
central,2025,electronics-assume,1286.26
central,2026,clothing-use,338.5
central,2027,home-purpose,1034.44
central,2028,electronics-take,4848.35
central,2029,home-yourself,40.53
central,2030,clothing-first,747.87
central,2031,office-develop,2656.91
central,2032,electronics-there,1702.08
central,2033,clothing-argue,4348.5
central,2034,clothing-feel,462.98
central,2035,home-according,2519.9700000000003
central,2037,clothing-meeting,2448.95
central,2038,office-soon,7782.68
central,2039,clothing-need,6835.08
central,2041,home-assume,4664.42
central,2042,clothing-lawyer,167.61
central,2044,office-society,581.22
central,2045,office-next,1435.84
central,2046,clothing-worry,60.17
central,2048,electronics-candidate,715.26
central,2050,electronics-young,896.54
central,2051,home-century,915.0999999999999
central,2052,office-year,2925.04
central,2053,home-ground,488.12
central,2054,electronics-above,3241.84
central,2056,office-about,839.55
central,2057,clothing-identify,349.58
central,2058,home-wear,4000.5
central,2059,electronics-clear,3584.35
central,2060,office-term,2981.17
central,2061,home-quite,639.74
central,2062,office-receive,7494.25
central,2063,home-good,3093.78
central,2064,electronics-stop,823.31
central,2065,office-animal,2351.7
central,2066,office-occur,3509.21
central,2067,clothing-remain,290.95
central,2068,home-read,5413.58
central,2069,clothing-garden,929.56
central,2070,clothing-about,54.69
central,2071,clothing-success,1230.32
central,2072,electronics-become,1008.72
central,2073,clothing-executive,1997.72
central,2074,clothing-strong,3957.0
central,2075,electronics-letter,6245.12
central,2076,clothing-affect,1934.57
central,2077,office-ball,3820.44
central,2078,electronics-film,1633.12
central,2079,office-who,3992.2700000000004
central,2080,office-doctor,11651.64
central,2082,office-figure,719.82
central,2083,clothing-cut,3072.64
central,2084,office-stuff,563.7
central,2085,electronics-officer,968.6
central,2086,home-of,4828.14
central,2087,electronics-rather,318.64
central,2088,office-evening,3546.75
central,2089,electronics-action,2894.64
central,2091,office-mrs,5253.58
central,2092,electronics-add,482.21
central,2093,home-real,1511.88
central,2094,office-fight,493.35
central,2095,home-seem,8932.38
central,2097,office-recent,1431.57
central,2098,clothing-trouble,4630.08
central,2099,electronics-several,1292.64
east,2000,electronics-be,3877.24
east,2001,electronics-be,2721.5099999999998
east,2002,office-family,6495.0
east,2003,electronics-training,7973.22
east,2004,office-where,15392.34
east,2005,office-huge,8318.34
east,2006,office-class,2890.8
east,2007,clothing-over,6767.32
east,2008,electronics-skin,958.9
east,2009,office-raise,384.6
east,2010,electronics-themselves,373.63
east,2011,electronics-religious,5490.51
east,2012,clothing-artist,5234.79
east,2013,office-cultural,11037.25
east,2014,clothing-eat,7118.07
east,2015,office-itself,12014.470000000001
east,2016,home-he,3553.22
east,2017,electronics-feeling,11777.98
east,2018,electronics-nature,14532.56
east,2019,home-history,11300.54
east,2020,electronics-share,5975.6900000000005
east,2021,clothing-skill,5847.87
east,2022,home-economy,14564.59
east,2023,home-yeah,22736.87
east,2024,clothing-paper,1056.3
east,2025,electronics-assume,4557.82
east,2026,clothing-use,1438.6
east,2027,home-purpose,2146.4700000000003
east,2028,electronics-take,11610.5
east,2029,home-yourself,78.36
east,2030,clothing-first,1767.69
east,2031,office-develop,2487.3199999999997
east,2032,electronics-there,12481.92
east,2033,clothing-argue,13380.0
