region,product_id,product_name,total_revenue,avg_discount,transactions
central,2023,home-yeah,0.0,5.0,1
central,2029,home-yourself,40.53,15.0,1
central,2070,clothing-about,54.69,13.333333333333334,3
central,2046,clothing-worry,60.17,20.0,1
central,2008,electronics-skin,159.81,15.0,2
east,2029,home-yourself,78.36,17.5,6
east,2046,clothing-worry,167.15,20.0,1
east,2010,electronics-themselves,373.63,15.0,5
east,2009,office-raise,384.6,15.0,4
east,2070,clothing-about,492.18,16.666666666666668,9
north,2006,office-class,0.0,17.5,2
north,2051,home-century,93.86,10.0,2
north,2008,electronics-skin,126.52000000000001,8.333333333333334,3
north,2070,clothing-about,157.22,18.333333333333332,3
north,2042,clothing-lawyer,167.61,5.0,1
south,2041,home-assume,0.0,20.0,1
south,2054,electronics-above,0.0,20.0,1
south,2085,electronics-officer,0.0,20.0,1
south,2088,office-evening,0.0,20.0,1
south,2046,clothing-worry,143.75,16.666666666666668,3
south-west,2005,office-huge,0.0,5.0,1
south-west,2009,office-raise,0.0,20.0,1
south-west,2014,clothing-eat,0.0,20.0,1
south-west,2021,clothing-skill,0.0,17.5,2
south-west,2027,home-purpose,0.0,5.0,1
west,2088,office-evening,0.0,10.0,2
west,2029,home-yourself,117.53999999999999,17.5,4
west,2070,clothing-about,133.3,15.0,2
west,2055,clothing-politics,140.24,17.5,2
west,2067,clothing-remain,261.86,17.5,2
