product_id,product_name,total_revenue
2080,office-doctor,11651.64
2095,home-seem,8932.38
2038,office-soon,7782.68
2062,office-receive,7494.25
2039,clothing-need,6835.08
2075,electronics-letter,6245.12
2068,home-read,5413.58
2091,office-mrs,5253.58
2028,electronics-take,4848.35
2086,home-of,4828.14
2041,home-assume,4664.42
2098,clothing-trouble,4630.08
2033,clothing-argue,4348.5
2058,home-wear,4000.5
2079,office-who,3992.2700000000004
2074,clothing-strong,3957.0
2004,office-where,3894.45
2077,office-ball,3820.44
2059,electronics-clear,3584.35
2088,office-evening,3546.75
2066,office-occur,3509.21
2054,electronics-above,3241.84
2063,home-good,3093.78
2021,clothing-skill,3091.02
2083,clothing-cut,3072.64
2060,office-term,2981.17
2052,office-year,2925.04
2089,electronics-action,2894.64
2000,electronics-be,2714.0699999999997
2007,clothing-over,2683.59
2031,office-develop,2656.91
2035,home-according,2519.9700000000003
2037,clothing-meeting,2448.95
2065,office-animal,2351.7
2001,electronics-be,2020.52
2073,clothing-executive,1997.72
2076,clothing-affect,1934.57
2002,office-family,1732.0
2032,electronics-there,1702.08
2012,clothing-artist,1682.61
2011,electronics-religious,1638.96
2078,electronics-film,1633.12
2093,home-real,1511.88
2045,office-next,1435.84
2097,office-recent,1431.57
2017,electronics-feeling,1391.1
2006,office-class,1386.0
2099,electronics-several,1292.64
2025,electronics-assume,1286.26
2071,clothing-success,1230.32
2014,clothing-eat,1206.8700000000001
2018,electronics-nature,1084.52
2015,office-itself,1079.95
2027,home-purpose,1034.44
2072,electronics-become,1008.72
2085,electronics-officer,968.6
2019,home-history,933.93
2069,clothing-garden,929.56
2051,home-century,915.0999999999999
2050,electronics-young,896.54
2016,home-he,872.15
2056,office-about,839.55
2064,electronics-stop,823.31
2030,clothing-first,747.87
2082,office-figure,719.82
2048,electronics-candidate,715.26
2061,home-quite,639.74
2044,office-society,581.22
2084,office-stuff,563.7
2094,office-fight,493.35
2053,home-ground,488.12
2092,electronics-add,482.21
2034,clothing-feel,462.98
2003,electronics-training,385.18
2024,clothing-paper,372.81
2057,clothing-identify,349.58
2005,office-huge,343.02
2026,clothing-use,338.5
2087,electronics-rather,318.64
2020,electronics-share,300.66
2067,clothing-remain,290.95
2010,electronics-themselves,280.22
2009,office-raise,185.67000000000002
2042,clothing-lawyer,167.61
2008,electronics-skin,159.81
2046,clothing-worry,60.17
2070,clothing-about,54.69
2029,home-yourself,40.53
2023,home-yeah,0.0
