product_id,product_name,total_revenue
2075,electronics-letter,23341.14
2023,home-yeah,22736.87
2043,electronics-practice,16333.51
2086,home-of,16272.62
2079,office-who,16254.24
2004,office-where,15392.34
2038,office-soon,15380.07
2058,home-wear,15335.25
2022,home-economy,14564.59
2018,electronics-nature,14532.56
2091,office-mrs,13949.17
2083,clothing-cut,13750.06
2033,clothing-argue,13380.0
2097,office-recent,13220.970000000001
2093,home-real,12699.79
2081,office-light,12685.74
2032,electronics-there,12481.92
2076,clothing-affect,12332.880000000001
2088,office-evening,12200.82
2015,office-itself,12014.470000000001
2017,electronics-feeling,11777.98
2028,electronics-take,11610.5
2019,home-history,11300.54
2062,office-receive,11210.41
2013,office-cultural,11037.25
2096,office-discuss,10217.14
2071,clothing-success,9534.98
2068,home-read,9514.779999999999
2077,office-ball,9101.65
2037,clothing-meeting,9003.5
2056,office-about,8343.05
2005,office-huge,8318.34
2003,electronics-training,7973.22
2052,office-year,7897.610000000001
2049,office-easy,7894.65
2041,home-assume,7720.42
2057,clothing-identify,7384.97
2014,clothing-eat,7118.07
2059,electronics-clear,7117.5
2007,clothing-over,6767.32
2053,home-ground,6528.599999999999
2002,office-family,6495.0
2089,electronics-action,6368.21
2035,home-according,6119.93
2099,electronics-several,6075.41
2054,electronics-above,6033.42
2020,electronics-share,5975.6900000000005
2021,clothing-skill,5847.87
2060,office-term,5839.83
2011,electronics-religious,5490.51
2047,clothing-hair,5393.18
2095,home-seem,5300.53
2098,clothing-trouble,5265.6
2012,clothing-artist,5234.79
2065,office-animal,5220.77
2048,electronics-candidate,4971.06
2092,electronics-add,4725.66
2072,electronics-become,4707.360000000001
2025,electronics-assume,4557.82
2082,office-figure,4078.9800000000005
2094,office-fight,3946.8
2044,office-society,3881.7400000000002
2000,electronics-be,3877.24
2064,electronics-stop,3734.3199999999997
2074,clothing-strong,3693.2
2061,home-quite,3658.54
2066,office-occur,3612.42
2087,electronics-rather,3600.63
2016,home-he,3553.22
2084,office-stuff,3382.2
2036,electronics-candidate,3269.7
2042,clothing-lawyer,3251.63
2073,clothing-executive,3196.35
2080,office-doctor,3162.59
2051,home-century,3038.59
2006,office-class,2890.8
2001,electronics-be,2721.5099999999998
2078,electronics-film,2541.98
2050,electronics-young,2502.85
2031,office-develop,2487.3199999999997
2085,electronics-officer,2348.86
2039,clothing-need,2343.46
2027,home-purpose,2146.4700000000003
2034,clothing-feel,1988.0900000000001
2067,clothing-remain,1862.08
2063,home-good,1767.8700000000001
2030,clothing-first,1767.69
2026,clothing-use,1438.6
2090,office-staff,1418.46
2024,clothing-paper,1056.3
2069,clothing-garden,1022.52
2008,electronics-skin,958.9
2055,clothing-politics,954.74
2040,clothing-determine,694.25
2045,office-next,499.42
2070,clothing-about,492.18
2009,office-raise,384.6
2010,electronics-themselves,373.63
2046,clothing-worry,167.15
2029,home-yourself,78.36
