product_id,product_name,total_revenue
2062,office-receive,14988.51
2000,electronics-be,14442.72
2052,office-year,14332.7
2098,clothing-trouble,12619.25
2053,home-ground,12203.0
2086,home-of,11712.710000000001
2079,office-who,11121.32
2095,home-seem,10502.91
2039,clothing-need,9959.68
2028,electronics-take,7591.49
2080,office-doctor,7407.110000000001
2056,office-about,7346.08
2093,home-real,7257.040000000001
2075,electronics-letter,7025.76
2049,office-easy,6672.860000000001
2032,electronics-there,6619.200000000001
2092,electronics-add,6461.610000000001
2082,office-figure,6451.72
2081,office-light,6268.25
2031,office-develop,6161.77
2015,office-itself,6142.2300000000005
2013,office-cultural,5986.3
2004,office-where,5934.4
2091,office-mrs,5887.63
2023,home-yeah,5825.15
2033,clothing-argue,5770.12
2018,electronics-nature,5585.28
2059,electronics-clear,5325.32
2077,office-ball,5112.66
2038,office-soon,5095.81
2071,clothing-success,5044.3099999999995
2097,office-recent,4968.39
2012,clothing-artist,4860.88
2041,home-assume,4825.26
2065,office-animal,4703.4
2063,home-good,4640.66
2021,clothing-skill,4594.76
2073,clothing-executive,4494.87
2020,electronics-share,4246.88
2019,home-history,4202.69
2066,office-occur,4128.4800000000005
2064,electronics-stop,3969.54
2099,electronics-several,3877.92
2067,clothing-remain,3811.4399999999996
2011,electronics-religious,3728.63
2060,office-term,3593.74
2094,office-fight,3453.45
2085,electronics-officer,3414.32
2007,clothing-over,3266.9799999999996
2003,electronics-training,3235.5099999999998
2076,clothing-affect,3224.28
2058,home-wear,3067.05
2016,home-he,2874.88
2017,electronics-feeling,2643.09
2074,clothing-strong,2638.0
2047,clothing-hair,2612.84
2083,clothing-cut,2458.12
2043,electronics-practice,2270.9700000000003
2050,electronics-young,2185.33
2057,clothing-identify,2097.5
2068,home-read,1968.58
2089,electronics-action,1943.55
2001,electronics-be,1896.81
2036,electronics-candidate,1743.84
2035,home-according,1709.98
2024,clothing-paper,1627.94
2045,office-next,1623.1200000000001
2061,home-quite,1559.38
2037,clothing-meeting,1440.56
2030,clothing-first,1427.75
2048,electronics-candidate,1394.7600000000002
2044,office-society,1349.27
2096,office-discuss,1344.36
2069,clothing-garden,1324.62
2022,home-economy,1208.12
2087,electronics-rather,1115.24
2026,clothing-use,1057.8
2072,electronics-become,1008.72
2002,office-family,866.0
2014,clothing-eat,862.05
2025,electronics-assume,754.98
2088,office-evening,709.35
2078,electronics-film,695.8499999999999
2010,electronics-themselves,638.29
2009,office-raise,517.22
2046,clothing-worry,441.28000000000003
2084,office-stuff,281.85
2027,home-purpose,232.75
2034,clothing-feel,217.87
2090,office-staff,200.59
2055,clothing-politics,194.18
2040,clothing-determine,183.06
2042,clothing-lawyer,167.61
2070,clothing-about,157.22
2008,electronics-skin,126.52000000000001
2051,home-century,93.86
2006,office-class,0.0
