product_id,product_name,total_revenue
2080,office-doctor,12067.77
2043,electronics-practice,9607.95
2054,electronics-above,7204.08
2083,clothing-cut,7067.07
2015,office-itself,6412.22
2093,home-real,6047.52
2094,office-fight,5722.860000000001
2000,electronics-be,5718.93
2096,office-discuss,5511.88
2086,home-of,5364.6
2049,office-easy,4981.150000000001
2013,office-cultural,4676.8
2007,clothing-over,4667.12
2053,home-ground,4515.11
2098,clothing-trouble,4448.51
2031,office-develop,4183.22
2016,home-he,4102.35
2038,office-soon,4076.64
2092,electronics-add,3954.13
2032,electronics-there,3782.4
2062,office-receive,3716.1600000000003
2004,office-where,3709.0
2060,office-term,3675.42
2095,home-seem,3435.5299999999997
2089,electronics-action,3142.76
2018,electronics-nature,3036.66
2068,home-read,2952.86
2091,office-mrs,2717.37
2079,office-who,2661.51
2039,clothing-need,2636.39
2056,office-about,2518.66
2073,clothing-executive,2497.15
2022,home-economy,2416.25
2057,clothing-identify,2315.99
2066,office-occur,2270.66
2033,clothing-argue,2257.88
2020,electronics-share,2254.98
2036,electronics-candidate,2245.19
2041,home-assume,2171.37
2052,office-year,2120.65
2085,electronics-officer,2082.5
2071,clothing-success,1845.48
2012,clothing-artist,1744.93
2025,electronics-assume,1733.6399999999999
2035,home-according,1709.98
2099,electronics-several,1615.8
2075,electronics-letter,1561.28
2059,electronics-clear,1536.15
2069,clothing-garden,1533.77
2023,home-yeah,1503.26
2019,home-history,1494.28
2065,office-animal,1411.02
2084,office-stuff,1409.25
2047,clothing-hair,1406.92
2026,clothing-use,1269.3600000000001
2072,electronics-become,1260.9
2030,clothing-first,1189.79
2077,office-ball,1123.66
2044,office-society,1017.1400000000001
2024,clothing-paper,919.6
2050,electronics-young,915.22
2011,electronics-religious,819.48
2006,office-class,792.0
2017,electronics-feeling,741.92
2058,home-wear,666.75
2081,office-light,596.98
2051,home-century,563.14
2028,electronics-take,510.35
2061,home-quite,499.8
2090,office-staff,458.5
2010,electronics-themselves,420.34000000000003
2008,electronics-skin,399.54
2042,clothing-lawyer,335.22
2064,electronics-stop,294.04
2037,clothing-meeting,288.11
2045,office-next,280.93
2082,office-figure,239.94
2040,clothing-determine,193.42000000000002
2087,electronics-rather,127.46
2046,clothing-worry,127.03
2070,clothing-about,88.87
2029,home-yourself,27.02
2027,home-purpose,0.0
2021,clothing-skill,0.0
2014,clothing-eat,0.0
2009,office-raise,0.0
2005,office-huge,0.0
2055,clothing-politics,0.0
2074,clothing-strong,0.0
2076,clothing-affect,0.0
