product_id,product_name,total_revenue
2043,electronics-practice,11616.880000000001
2080,office-doctor,9987.119999999999
2098,clothing-trouble,8261.52
2094,office-fight,7202.91
2002,office-family,6754.8
2097,office-recent,6063.12
2038,office-soon,5929.67
2081,office-light,5671.2699999999995
2057,clothing-identify,5637.03
2089,electronics-action,4879.54
2076,clothing-affect,4836.42
2075,electronics-letter,4683.84
2058,home-wear,4667.25
2059,electronics-clear,4608.45
2022,home-economy,4094.2
2074,clothing-strong,4088.8999999999996
2007,clothing-over,4083.73
2028,electronics-take,4082.82
2015,office-itself,4049.82
2004,office-where,3709.0
2079,office-who,3707.1099999999997
2053,home-ground,3660.9
2096,office-discuss,3360.8999999999996
2011,electronics-religious,3195.9700000000003
2062,office-receive,2972.9300000000003
2072,electronics-become,2731.95
2036,electronics-candidate,2681.16
2023,home-yeah,2630.71
2064,electronics-stop,2616.96
2095,home-seem,2453.9500000000003
2020,electronics-share,2405.31
2082,office-figure,2399.4
2032,electronics-there,2269.44
2073,clothing-executive,2247.44
2083,clothing-cut,2227.66
2050,electronics-young,2166.65
2005,office-huge,1972.3899999999999
2071,clothing-success,1968.51
2018,electronics-nature,1952.1399999999999
2047,clothing-hair,1942.88
2027,home-purpose,1887.8600000000001
2013,office-cultural,1870.72
2077,office-ball,1797.86
2065,office-animal,1787.29
2066,office-occur,1754.6
2087,electronics-rather,1752.52
2048,electronics-candidate,1716.63
2012,clothing-artist,1682.61
2030,clothing-first,1529.73
2068,home-read,1476.43
2003,electronics-training,1386.65
2052,office-year,1170.02
2067,clothing-remain,1134.71
2044,office-society,1100.17
2034,clothing-feel,1089.36
2024,clothing-paper,994.1600000000001
2001,electronics-be,989.64
2056,office-about,944.5
2049,office-easy,939.84
2019,home-history,933.93
2031,office-develop,904.48
2084,office-stuff,901.92
2035,home-according,899.99
2039,clothing-need,878.8
2016,home-he,872.15
2045,office-next,842.78
2014,clothing-eat,837.4200000000001
2017,electronics-feeling,834.66
2061,home-quite,799.68
2010,electronics-themselves,778.4
2092,electronics-add,771.54
2093,home-real,755.94
2025,electronics-assume,671.09
2021,clothing-skill,668.33
2078,electronics-film,653.25
2009,office-raise,517.22
2008,electronics-skin,466.13
2063,home-good,441.97
2090,office-staff,408.35
2037,clothing-meeting,324.13
2069,clothing-garden,232.39
2026,clothing-use,211.56
2040,clothing-determine,207.24
2070,clothing-about,167.48
2055,clothing-politics,156.43
2046,clothing-worry,143.75
2054,electronics-above,0.0
2041,home-assume,0.0
2088,office-evening,0.0
2085,electronics-officer,0.0
