product_id,product_name,total_revenue
2013,office-cultural,19455.489999999998
2080,office-doctor,13565.85
2032,electronics-there,11063.52
2038,office-soon,10562.21
2098,clothing-trouble,9986.46
2004,office-where,8901.6
2054,electronics-above,8825.0
2049,office-easy,7988.639999999999
2023,home-yeah,7986.09
2079,office-who,7889.49
2058,home-wear,7534.27
2081,office-light,7462.2
2068,home-read,7382.16
2086,home-of,7152.8
2099,electronics-several,7109.52
2074,clothing-strong,7056.65
2056,office-about,6978.780000000001
2066,office-occur,6760.379999999999
2057,clothing-identify,6729.5
2000,electronics-be,6591.3099999999995
2063,home-good,5966.57
2083,clothing-cut,5838.0199999999995
2094,office-fight,5377.52
2076,clothing-affect,5239.45
2028,electronics-take,5231.110000000001
2053,home-ground,5003.23
2048,electronics-candidate,4935.3
2031,office-develop,4748.52
2001,electronics-be,4535.85
2091,office-mrs,4528.95
2060,office-term,4410.5
2047,clothing-hair,4388.24
2097,office-recent,4378.92
2021,clothing-skill,4093.5099999999998
2041,home-assume,4021.05
2073,clothing-executive,3995.44
2035,home-according,3599.96
2052,office-year,3510.05
2072,electronics-become,3404.43
2025,electronics-assume,3383.41
2071,clothing-success,3383.38
2089,electronics-action,3225.46
2012,clothing-artist,3115.95
2007,clothing-over,2858.61
2062,office-receive,2849.06
2017,electronics-feeling,2689.46
2022,home-economy,2684.72
2075,electronics-letter,2654.1800000000003
2019,home-history,2615.0
2020,electronics-share,2593.23
2003,electronics-training,2503.66
2064,electronics-stop,2293.51
2018,electronics-nature,2169.04
2039,clothing-need,1952.88
2069,clothing-garden,1952.07
2065,office-animal,1881.36
2006,office-class,1861.2
2036,electronics-candidate,1809.2399999999998
2016,home-he,1808.9099999999999
2082,office-figure,1732.9
2014,clothing-eat,1724.1
2085,electronics-officer,1695.0500000000002
2050,electronics-young,1681.02
2095,home-seem,1472.37
2045,office-next,1373.42
2093,home-real,1360.69
2051,home-century,1349.18
2087,electronics-rather,1242.6999999999998
2011,electronics-religious,1229.22
2005,office-huge,1200.58
2042,clothing-lawyer,1173.27
2084,office-stuff,1099.22
2030,clothing-first,1053.81
2027,home-purpose,982.72
2059,electronics-clear,921.69
2077,office-ball,898.93
2043,electronics-practice,873.45
2033,clothing-argue,836.25
2015,office-itself,674.97
2037,clothing-meeting,648.25
2061,home-quite,639.74
2046,clothing-worry,501.45000000000005
2090,office-staff,487.15
2009,office-raise,477.44
2024,clothing-paper,472.23
2040,clothing-determine,435.2
2026,clothing-use,423.12
2078,electronics-film,383.43
2044,office-society,373.64
2008,electronics-skin,372.90000000000003
2034,clothing-feel,326.81
2010,electronics-themselves,272.44
2067,clothing-remain,261.86
2055,clothing-politics,140.24
2070,clothing-about,133.3
2029,home-yourself,117.53999999999999
2088,office-evening,0.0
